Material;Material short text;Final net price;Price quantity unit net price;Consumptions
01146-020;Sto-anchor combination washer H 140 mm;0,63;ST;
01146-019;Sto-anchor combination washer H 90 mm;0,31;ST;
01146-023;Sto-anchor combination washer II-F 140 mm;0,49;ST;
01146-022;Sto-anchor combination washer II-F 90 mm;0,30;ST;
01145-012;Sto-anchor plate SBH-T 2G 60 mm;0,20;ST;
01146-013;Sto-recessed anchor plate;0,50;ST;1,00 pc/pc
09333-002;Sto-Ecotwist VE EPS grey (Verschlusselem;0,12;ST;
09333-008;Sto-Ecotwist VE MW (closure element);0,18;ST;
00931-003;Sto-thermal anchor VE (closure element);0,03;ST;
00931-022;Sto-thermal anchor II-F washer EPS grey;0,09;ST;1,0 pc/pc
00931-021;Sto-thermal anchor II-F washer Mineralwoll;0,11;ST;1,0 pc/pc
00931-002;Sto-thermal anchor washer MW;0,11;ST;1,00 pc/pc
00931-020;Sto-thermal anchor washer PIR;0,76;ST;
00931-005;Sto-thermal anchor washer PS grey;0,09;ST;1,00 pc/pc
00931-001;Sto-thermal anchor washer PS white;0,11;ST;1,00 pc/pc
00931-006;Sto-thermal anchor washer Resol RPH;0,21;ST;
00980-003;StoFix Circonic Streifen MW 60x30 mm L=1;161,85;ST;
04893-002;Sto-Attikaprofil corner piece;6,50;ST;
09390-010;Sto-joint side profile-Verbinder;1,35;ST;1,00 m/m
00504-001;Sto-scaffold anchor plug;0,94;ST;1 pc/pc
00504-002;Sto-scaffold anchor plug CEP;2,09;ST;
07962-011;Sto-Klebewinkel PH;0,53;ST;
01077-022;Sto-Sockelleistenverbinder L;4,63;M;1,00 pc/pc
01077-017;Sto-Sockelleistenverbinder S 30 mm;0,21;ST;1,00 pc/pc
01070-001;Sto-Unterlegscheibe  3 mm plastic;0,16;ST;1,00 pc/pc
01004-001;Sto-Unterlegscheibe  8 mm plastic;0,17;ST;1,00 pc/pc
01073-001;Sto-Unterlegscheibe 15 mm plastic;0,22;ST;1,00 pc/pc
09063-006;StoElement Tube SL 110 mm;36,68;ST;1,00 pc/pc
09063-007;StoElement Tube SL 125 mm;38,84;ST;1,00 pc/pc
09063-003;StoElement Tube SL 50 mm;28,05;ST;1,00 pc/pc
09063-004;StoElement Tube SL 75 mm;30,21;ST;1,00 pc/pc
09063-005;StoElement Tube SL 90 mm;32,36;ST;1,00 pc/pc
02097-003;StoProfile Drainage;3,80;PAA;
08406-022;StoFentra EPS-Keil 5° 100 cm long;3,53;M;
08406-030;StoFentra Stufenkeil 5° 100 cm long;7,43;M;
00490-006;Sto-Pistolenreiniger 500 ml;10,28;ST;
01836-007;illbruck ME904;31,44;L;0,30 - 0,50 l/m² on soft wood fiber insulation boards
02097-002;StoDivers GLM 1000 ml;7,25;ST;
08323-012;cleaning brushes D 14 mm + D 20 mm;12,93;ST;
01836-005;StoPrim Pen;31,71;ST;1,00 pc/pc
01926-002;StoSeal L 110;10,91;KG;0,5 - 1,0 kg/m² depending on the substrate
08323-011;injection mortar EJOT Multifix USF 280 m;22,25;ST;
08323-013;injection mortar EJOT Multifix USF Winte;22,25;ST;
04883-001;Sto-drive-in anchor S UEZ 8 45 mm;0,20;ST;
04883-002;Sto-drive-in anchor S UEZ 8 65 mm;0,22;ST;
04883-003;Sto-drive-in anchor S UEZ 8 85 mm;0,23;ST;
04879-004;Sto-screw anchor S UEZ 8 105 mm;0,40;ST;
04879-001;Sto-screw anchor S UEZ 8 45 mm;0,27;ST;
04879-002;Sto-screw anchor S UEZ 8 65 mm;0,31;ST;
04879-003;Sto-screw anchor S UEZ 8 85 mm;0,35;ST;
08763-004;Sto-facade renovation anchor VSD 2G 8U-V 01;2,97;ST;
08763-005;Sto-facade renovation anchor VSD 2G 8U-V 01;3,46;ST;
08763-006;Sto-facade renovation anchor VSD 2G 8U-V 01;3,61;ST;
08763-007;Sto-facade renovation anchor VSD 2G 8U-V 01;3,74;ST;
08763-008;Sto-facade renovation anchor VSD 2G 8U-V 01;3,90;ST;
08763-009;Sto-facade renovation anchor VSD 2G 8U-V 01;4,05;ST;
08763-010;Sto-facade renovation anchor VSD 2G 8U-V 01;4,25;ST;
08029-030;StoFix support bracket injection anchor (for 1;15,23;ST;
08029-020;StoFix support bracket frame anchor;5,68;ST;
08029-022;StoFix support bracket Schraubanker;5,22;ST;
01896-020;StoFix Trawik PU screw;2,27;ST;1,00 pc/pc
01896-016;StoFix Trawik PU/TWL injection anchor;7,25;ST;
01896-015;StoFix Trawik PU/TWL frame anchor;6,25;ST;
02695-049;Sto-insulation board EPS 034 10 cm 100x50 cm;7,59;M2;
02695-051;Sto-insulation board EPS 034 12 cm 100x50 cm;9,11;M2;
02695-053;Sto-insulation board EPS 034 14 cm 100x50 cm;10,63;M2;
02695-055;Sto-insulation board EPS 034 16 cm 100x50 cm;12,14;M2;
02695-057;Sto-insulation board EPS 034 18 cm 100x50 cm;13,66;M2;
02695-059;Sto-insulation board EPS 034 20 cm 100x50 cm;15,18;M2;
02695-061;Sto-insulation board EPS 034 22 cm 100x50 cm;16,70;M2;
02695-063;Sto-insulation board EPS 034 24 cm 100x50 cm;18,22;M2;
02695-065;Sto-insulation board EPS 034 26 cm 100x50 cm;19,73;M2;
02695-067;Sto-insulation board EPS 034 28 cm 100x50 cm;21,25;M2;
02695-069;Sto-insulation board EPS 034 30 cm 100x50 cm;22,77;M2;
02695-071;Sto-insulation board EPS 034 32 cm 100x50 cm;24,29;M2;
02695-073;Sto-insulation board EPS 034 34 cm 100x50 cm;25,81;M2;
02695-075;Sto-insulation board EPS 034 36 cm 100x50 cm;27,33;M2;
02695-077;Sto-insulation board EPS 034 38 cm 100x50 cm;28,85;M2;
02695-079;Sto-insulation board EPS 034 40 cm 100x50 cm;30,36;M2;
02695-045;Sto-insulation board EPS 034 6 cm 100x50 cm;4,55;M2;
02695-047;Sto-insulation board EPS 034 8 cm 100x50 cm;6,07;M2;
04900-002;Sto-insulation board Top32  2 cm 100x50 cm;1,60;M2;1,00 m²/m²
04900-004;Sto-insulation board Top32  4 cm 100x50 cm;3,20;M2;1,00 m²/m²
04900-008;Sto-insulation board Top32  8 cm 100x50 cm;6,40;M2;1,00 m²/m²
04900-010;Sto-insulation board Top32 10 cm 100x50 cm;8,00;M2;1,00 m²/m²
04900-012;Sto-insulation board Top32 12 cm 100x50 cm;9,60;M2;1,00 m²/m²
04900-014;Sto-insulation board Top32 14 cm 100x50 cm;11,20;M2;1,00 m²/m²
04900-016;Sto-insulation board Top32 16 cm 100x50 cm;12,80;M2;1,00 m²/m²
04900-018;Sto-insulation board Top32 18 cm 100x50 cm;14,40;M2;1,00 m²/m²
04900-020;Sto-insulation board Top32 20 cm 100x50 cm;16,00;M2;1,00 m²/m²
04900-022;Sto-insulation board Top32 22 cm 100x50 cm;17,60;M2;1,00 m²/m²
04900-024;Sto-insulation board Top32 24 cm 100x50 cm;19,20;M2;1,00 m²/m²
04900-026;Sto-insulation board Top32 26 cm 100x50 cm;20,80;M2;1,00 m²/m²
04900-028;Sto-insulation board Top32 28 cm 100x50 cm;22,40;M2;1,00 m²/m²
04900-030;Sto-insulation board Top32 30 cm 100x50 cm;24,00;M2;1,00 m²/m²
04900-032;Sto-insulation board Top32 32 cm 100x50 cm;25,60;M2;1,00 m²/m²
04900-034;Sto-insulation board Top32 34 cm 100x50 cm;27,20;M2;1,00 m²/m²
04900-036;Sto-insulation board Top32 36 cm 100x50 cm;28,80;M2;1,00 m²/m²
04900-038;Sto-insulation board Top32 38 cm 100x50 cm;30,40;M2;1,00 m²/m²
04900-040;Sto-insulation board Top32 40 cm 100x50 cm;32,00;M2;1,00 m²/m²
04900-006;Sto-insulation board Top32 6 cm 100x50 cm;4,80;M2;1,00 m²/m²
04900-229;Sto-insulation board Top32 Biomass 10 cm 100x5;16,88;M2;1,0 m²/m²
04900-231;Sto-insulation board Top32 Biomass 12 cm 100x5;20,25;M2;1,0 m²/m²
04900-233;Sto-insulation board Top32 Biomass 14 cm 100x5;23,62;M2;1,0 m²/m²
04900-235;Sto-insulation board Top32 Biomass 16 cm 100x5;27,00;M2;1,0 m²/m²
04900-237;Sto-insulation board Top32 Biomass 18 cm 100x5;30,37;M2;1,0 m²/m²
04900-239;Sto-insulation board Top32 Biomass 20 cm 100x5;33,75;M2;1,0 m²/m²
04900-241;Sto-insulation board Top32 Biomass 22 cm 100x5;37,13;M2;1,0 m²/m²
04900-243;Sto-insulation board Top32 Biomass 24 cm 100x5;40,50;M2;1,0 m²/m²
04900-245;Sto-insulation board Top32 Biomass 26 cm 100x5;43,88;M2;1,0 m²/m²
04900-247;Sto-insulation board Top32 Biomass 28 cm 100x5;47,26;M2;1,0 m²/m²
04900-249;Sto-insulation board Top32 Biomass 30 cm 100x5;50,63;M2;1,0 m²/m²
04900-251;Sto-insulation board Top32 Biomass 32 cm 100x5;54,00;M2;1,0 m²/m²
04900-253;Sto-insulation board Top32 Biomass 34 cm 100x5;57,38;M2;1,0 m²/m²
04900-255;Sto-insulation board Top32 Biomass 36 cm 100x5;60,75;M2;1,0 m²/m²
04900-257;Sto-insulation board Top32 Biomass 38 cm 100x5;64,11;M2;1,0 m²/m²
04900-259;Sto-insulation board Top32 Biomass 40 cm 100x5;67,50;M2;1,0 m²/m²
04900-225;Sto-insulation board Top32 Biomass 6 cm 100x50;10,12;M2;1,0 m²/m²
04900-227;Sto-insulation board Top32 Biomass 8 cm 100x50;13,50;M2;1,0 m²/m²
04901-061;Sto-insulation board Top32 Biomass NF BS 10 cm;18,64;M2;1,04 m²/m²
04901-062;Sto-insulation board Top32 Biomass NF BS 11 cm;20,50;M2;1,04 m²/m²
04901-063;Sto-insulation board Top32 Biomass NF BS 12 cm;22,37;M2;1,04 m²/m²
04901-064;Sto-insulation board Top32 Biomass NF BS 13 cm;24,23;M2;1,04 m²/m²
04901-065;Sto-insulation board Top32 Biomass NF BS 14 cm;26,09;M2;1,04 m²/m²
04901-066;Sto-insulation board Top32 Biomass Nf BS 15 cm;27,96;M2;1,04 m²/m²
04901-067;Sto-insulation board Top32 Biomass NF BS 16 cm;29,82;M2;1,04 m²/m²
04901-068;Sto-insulation board Top32 Biomass NF BS 17 cm;31,68;M2;1,04 m²/m²
04901-069;Sto-insulation board Top32 Biomass NF BS 18 cm;33,55;M2;1,04 m²/m²
04901-070;Sto-insulation board Top32 Biomass NF BS 19 cm;35,41;M2;1,04 m²/m²
04901-071;Sto-insulation board Top32 Biomass NF BS 20 cm;37,28;M2;1,04 m²/m²
04901-073;Sto-insulation board Top32 Biomass NF BS 22 cm;41,00;M2;1,04 m²/m²
04901-074;Sto-insulation board Top32 Biomass NF BS 23 cm;42,87;M2;1,04 m²/m²
04901-075;Sto-insulation board Top32 Biomass NF BS 24 cm;44,73;M2;1,04 m²/m²
04901-076;Sto-insulation board Top32 Biomass NF BS 25 cm;46,60;M2;1,04 m²/m²
04901-077;Sto-insulation board Top32 Biomass NF BS 26 cm;48,46;M2;1,04 m²/m²
04901-078;Sto-insulation board Top32 Biomass NF BS 27 cm;50,32;M2;1,04 m²/m²
04901-079;Sto-insulation board Top32 Biomass NF BS 28 cm;52,19;M2;1,04 m²/m²
04901-056;Sto-insulation board Top32 Biomass NF BS 4 cm;7,46;M2;1,04 m²/m²
04901-057;Sto-insulation board Top32 Biomass NF BS 6 cm;11,18;M2;1,04 m²/m²
04901-058;Sto-insulation board Top32 Biomass NF BS 7 cm;13,05;M2;1,04 m²/m²
04901-059;Sto-insulation board Top32 Biomass NF BS 8 cm;14,91;M2;1,04 m²/m²
04901-060;Sto-insulation board Top32 Biomass NF BS 9 cm;16,77;M2;1,04 m²/m²
04901-002;Sto-insulation board Top32 NF BS  6 cm 100x50;7,83;M2;1,04 m²/m²
04901-004;Sto-insulation board Top32 NF BS  8 cm 100x50;10,44;M2;1,04 m²/m²
04901-006;Sto-insulation board Top32 NF BS 10 cm 100x50;13,05;M2;1,04 m²/m²
04901-008;Sto-insulation board Top32 NF BS 12 cm 100x50;15,66;M2;1,04 m²/m²
04901-010;Sto-insulation board Top32 NF BS 14 cm 100x50;18,27;M2;1,04 m²/m²
04901-012;Sto-insulation board Top32 NF BS 16 cm 100x50;20,88;M2;1,04 m²/m²
04901-014;Sto-insulation board Top32 NF BS 18 cm 100x50;23,49;M2;1,04 m²/m²
04901-016;Sto-insulation board Top32 NF BS 20 cm 100x50;26,10;M2;1,04 m²/m²
04901-018;Sto-insulation board Top32 NF BS 22 cm 100x50;28,71;M2;1,04 m²/m²
04901-020;Sto-insulation board Top32 NF BS 24 cm 100x50;31,32;M2;1,04 m²/m²
04901-022;Sto-insulation board Top32 NF BS 26 cm 100x50;33,93;M2;1,04 m²/m²
04901-024;Sto-insulation board Top32 NF BS 28 cm 100x50;36,54;M2;1,04 m²/m²
04901-026;Sto-insulation board Top32 NF BS 30 cm 100x50;39,15;M2;1,04 m²/m²
04901-032;Sto-insulation board Top32 NF BS 32 cm 100x50;41,76;M2;1,04 m²/m²
04901-034;Sto-insulation board Top32 NF BS 34 cm 100x50;44,37;M2;1,04 m²/m²
04901-036;Sto-insulation board Top32 NF BS 36 cm 100x50;46,98;M2;1,04 m²/m²
04901-038;Sto-insulation board Top32 NF BS 38 cm 100x50;49,59;M2;1,04 m²/m²
04901-040;Sto-insulation board Top32 NF BS 40 cm 100x50;52,20;M2;1,04 m²/m²
08755-007;Sto-insulation board Top32 Silent 10 cm 100x50;13,69;M2;1,00 m²/m²
08755-009;Sto-insulation board Top32 Silent 12 cm 100x50;16,43;M2;1,00 m²/m²
08755-011;Sto-insulation board Top32 Silent 14 cm 100x50;19,16;M2;1,00 m²/m²
08755-013;Sto-insulation board Top32 Silent 16 cm 100x50;21,90;M2;1,00 m²/m²
08755-015;Sto-insulation board Top32 Silent 18 cm 100x50;24,64;M2;1,00 m²/m²
08755-017;Sto-insulation board Top32 Silent 20 cm 100x50;27,38;M2;1,00 m²/m²
08755-003;Sto-insulation board Top32 Silent 6 cm 100x50;8,21;M2;1,00 m²/m²
08755-005;Sto-insulation board Top32 Silent 8 cm 100x50;10,95;M2;1,00 m²/m²
08755-031;Sto-insulation board Top32 Silent II 10 cm 100;12,45;M2;1,00 m²/m²
08755-033;Sto-insulation board Top32 Silent II 12 cm 100;14,94;M2;1,00 m²/m²
08755-035;Sto-insulation board Top32 Silent II 14 cm 100;17,43;M2;1,00 m²/m²
08755-037;Sto-insulation board Top32 Silent II 16 cm 100;19,92;M2;1,00 m²/m²
08755-039;Sto-insulation board Top32 Silent II 18 cm 100;22,41;M2;1,00 m²/m²
08755-041;Sto-insulation board Top32 Silent II 20 cm 100;24,90;M2;1,00 m²/m²
08755-020;Sto-insulation board Top32 Silent II 22 cm 100;27,39;M2;1,00 m²/m²
08755-022;Sto-insulation board Top32 Silent II 24 cm 100;29,88;M2;1,00 m²/m²
08755-024;Sto-insulation board Top32 Silent II 26 cm 100;32,37;M2;1,00 m²/m²
08755-026;Sto-insulation board Top32 Silent II 28 cm 100;34,86;M2;1,00 m²/m²
08755-028;Sto-insulation board Top32 Silent II 30 cm 100;37,35;M2;1,00 m²/m²
08755-029;Sto-insulation board Top32 Silent II 8 cm 100x;9,96;M2;1,00 m²/m²
04900-152;Sto-insulation board Top32 15 cm 258,4x40 cm S;12,00;M2;1,00 m²/m²
04900-139;Sto-insulation board Top32 15,3 cm 100x66 cm S;12,24;M2;1,00 m²/m²
04900-154;Sto-insulation board Top32 4 cm 258,4x120 cm S;3,20;M2;1,00 m²/m²
09466-014;Sto-EPS insulation board Polar II 032 10 cm 10;13,20;M2;1,00 m²/m²
09466-015;Sto-EPS insulation board Polar II 032 12 cm 10;15,84;M2;1,00 m²/m²
09466-016;Sto-EPS insulation board Polar II 032 14 cm 10;18,48;M2;1,00 m²/m²
09466-017;Sto-EPS insulation board Polar II 032 16 cm 10;21,12;M2;1,00 m²/m²
09466-018;Sto-EPS insulation board Polar II 032 18 cm 10;23,76;M2;1,00 m²/m²
09466-019;Sto-EPS insulation board Polar II 032 20 cm 10;26,40;M2;1,00 m²/m²
09466-008;Sto-EPS insulation board Polar II 032 22 cm 10;29,04;M2;1,00 m²/m²
09466-012;Sto-EPS insulation board Polar II 032 24 cm 10;31,68;M2;1,00 m²/m²
09466-009;Sto-EPS insulation board Polar II 032 26 cm 10;34,32;M2;1,00 m²/m²
09466-010;Sto-EPS insulation board Polar II 032 28 cm 10;36,96;M2;1,00 m²/m²
09466-011;Sto-EPS insulation board Polar II 032 30 cm 10;39,60;M2;1,00 m²/m²
09466-013;Sto-EPS insulation board Polar II 032 8 cm 100;10,56;M2;1,00 m²/m²
09597-002;Sto-EPS insulation board Polar II 032 NF BS 10;14,06;M2;1,04 m²/m²
09597-003;Sto-EPS insulation board Polar II 032 NF BS 12;16,88;M2;1,04 m²/m²
09597-004;Sto-EPS insulation board Polar II 032 NF BS 14;19,69;M2;1,04 m²/m²
09597-005;Sto-EPS insulation board Polar II 032 NF BS 16;22,50;M2;1,04 m²/m²
09597-006;Sto-EPS insulation board Polar II 032 NF BS 18;25,31;M2;1,04 m²/m²
09597-007;Sto-EPS insulation board Polar II 032 NF BS 20;28,13;M2;1,04 m²/m²
